0.000000000000000000e+00 0.000000000000000000e+00
1.565194467192793136e-03 1.111111111111111049e-01
2.739090317587388260e-03 2.222222222222222099e-01
3.521687551183784719e-03 3.333333333333333148e-01
3.912986167981982732e-03 4.444444444444444198e-01
3.912986167981982732e-03 5.555555555555555802e-01
3.521687551183784719e-03 6.666666666666666297e-01
2.739090317587388693e-03 7.777777777777776791e-01
1.565194467192793787e-03 8.888888888888888395e-01
0.000000000000000000e+00 1.000000000000000000e+00
